Timestamp,Give you confidence levels of the following statements below: [I am comfortable using the documentation of my HPC center],Give you confidence levels of the following statements below: [I am comfortable using a Python book],Give you confidence levels of the following statements below: [I am comfortable learning Python],Give you confidence levels of the following statements below: [I can login to my HPC cluster],Give you confidence levels of the following statements below: [I can load a Python version on my HPC cluster],Give you confidence levels of the following statements below: [I can describe what the Python programming language is],Give you confidence levels of the following statements below: [I can describe what the Python interpreter is],Give you confidence levels of the following statements below: [I can use a text editor on my HPC cluster],Give you confidence levels of the following statements below: [I can create a Python script],Give you confidence levels of the following statements below: [I can run a Python script],"Give you confidence levels of the following statements below: [In Python, I can create a variable]","Give you confidence levels of the following statements below: [In Python, I can use a variable]",Give you confidence levels of the following statements below: [I can convert a simple equation to Python code],"Give you confidence levels of the following statements below: [In Python, I can find and use the operator for exponentiation]","Give you confidence levels of the following statements below: [In Python, I know what the modulo operator is and when to use it]",Give you confidence levels of the following statements below: [I can convert a simple text question to Python code]
24/04/2025 08:50:04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/04/2025 09:08:55,1,0,5,5,0,1,0,2,0,0,0,0,0,0,0,0
24/04/2025 09:09:21,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
24/04/2025 09:10:04,1,3,4,4,2,3,2,0,3,3,4,5,5,1,2,2
24/04/2025 09:10:07,3,3,4,5,5,3,1,5,5,5,5,5,5,3,3,3
24/04/2025 09:10:09,3,3,3,2,1,2,2,2,3,3,4,4,3,4,4,4
24/04/2025 09:10:28,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5
24/04/2025 09:10:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/04/2025 09:10:45,1,5,5,5,0,5,5,5,5,5,5,5,5,3,2,1
24/04/2025 09:10:49,5,5,5,5,5,4,4,5,5,5,5,5,5,5,3,5
24/04/2025 09:10:56,2,5,5,5,4,5,1,3,5,5,5,5,5,5,4,5
24/04/2025 09:10:57,0,3,3,2,2,2,2,0,3,3,3,3,3,3,2,2
24/04/2025 09:11:02,2,5,5,3,2,4,3,3,5,5,5,5,5,5,4,5
24/04/2025 09:11:15,3,2,5,5,4,5,1,3,5,5,4,4,4,4,0,4
24/04/2025 09:11:26,3,4,5,5,5,4,3,5,5,5,5,5,5,,4,5
24/04/2025 09:11:31,3,3,4,5,5,4,2,3,2,3,2,2,1,1,1,1
24/04/2025 09:11:49,5,2,5,4,3,4,3,5,2,3,3,3,2,3,2,2
24/04/2025 09:11:50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
24/04/2025 09:12:35,3,0,4,5,4,3,2,3,5,5,5,5,5,4,3,4
24/04/2025 09:12:57,3,4,4,3,2,4,4,3,3,4,4,4,4,4,3,4
