question,mean
I am comfortable learning Python,5
I am comfortable using a Python book,2.6666666666666665
I am comfortable using the documentation of my HPC center,4
I can convert a simple equation to Python code,5
I can convert a simple text question to Python code,5
I can create a Python script,5
I can create and use a variable in Python,5
I can describe what the Python interpreter is,4.333333333333333
I can load a Python version on my HPC cluster,5
I can read and write to/from a file in Python,4.666666666666667
I can run a Python script,5
I can run a Python script that uses a graphical library on an HPC cluster,4.333333333333333
I can use a text editor on my HPC cluster,3.6666666666666665
