"Timestamp","Give you confidence levels of the following statements below: [I am comfortable using the documentation of my HPC center]","Give you confidence levels of the following statements below: [I am comfortable using a Python book]","Give you confidence levels of the following statements below: [I am comfortable learning Python]","Give you confidence levels of the following statements below: [I can load a Python version on my HPC cluster]","Give you confidence levels of the following statements below: [I can describe what the Python interpreter is]","Give you confidence levels of the following statements below: [I can use a text editor on my HPC cluster]","Give you confidence levels of the following statements below: [I can create a Python script]","Give you confidence levels of the following statements below: [I can run a Python script]","Give you confidence levels of the following statements below: [I can run a Python script that uses a graphical library on an HPC cluster]","Give you confidence levels of the following statements below: [I can create and use a variable in Python]","Give you confidence levels of the following statements below: [I can convert a simple equation to Python code]","Give you confidence levels of the following statements below: [I can convert a simple text question to Python code]","Give you confidence levels of the following statements below: [I can read and write to/from a file in Python]","Any other feedback?"
"2026/04/20 12:00:50 pm EET","4","5","5","5","5","5","5","5","5","5","5","5","5",""
"2026/04/20 1:36:13 pm EET","3","3","3","3","3","4","4","4","3","4","4","4","3",""
"2026/04/20 2:36:38 pm EET","4","5","5","5","5","5","5","5","5","5","5","5","5","Great course, thanks!"
"2026/04/20 3:19:01 pm EET","2","4","5","1","3","2","4","5","1","3","4","5","4","Very good and concise yet cheerful and helpful teaching."
"2026/04/20 3:29:27 pm EET","3","3","5","5","5","5","5","5","4","5","5","3","3",""
"2026/04/20 3:37:47 pm EET","3","4","4","5","4","5","4","4","4","4","3","3","3",""
"2026/04/20 3:47:32 pm EET","4","4","4","3","4","4","4","4","4","4","4","4","4",""
"2026/04/20 3:54:22 pm EET","4","5","5","4","5","5","5","5","3","5","5","5","1","All good I think, I like the pace"
"2026/04/20 3:54:59 pm EET","4","5","4","5","5","4","5","5","4","5","5","5","5","Great experience! I needed some time to catch up, but it was good to practice. I believe that I can learn Python! Thank You"
"2026/04/20 3:59:13 pm EET","4","5","5","5","5","5","5","5","2","5","4","4","4","The first day of the Python course was really good. Richèl is a great teacher and made the course very enjoyable. I really appreciated that he provided the Python textbook, which was very helpful for learning more and completing the exercises."
